127.0.0.1 - - [02/May/2019:14:43:06 -0300] "GET / HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [02/May/2019:14:54:12 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [02/May/2019:14:54:12 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:14:54:19 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [02/May/2019:14:54:19 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:14:54:19 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:14:54:19 -0300] "GET /favicon.ico HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [02/May/2019:14:54:30 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [02/May/2019:14:54:30 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:14:54:30 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:14:54:30 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [02/May/2019:14:54:30 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:14:54:30 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:14:56:01 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [02/May/2019:14:56:01 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:14:56:02 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:14:56:13 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [02/May/2019:14:56:13 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:14:56:13 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:14:56:47 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 500 5831
0:0:0:0:0:0:0:1 - - [02/May/2019:14:57:55 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [02/May/2019:14:57:56 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:14:57:56 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:14:57:56 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:14:57:56 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:14:57:57 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [02/May/2019:14:57:57 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:14:57:57 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:14:57:57 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:14:57:57 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
